Tanggal Lahir,Pergawean,Status Kawin,Penghasilan per Tahun,Tanggungan Ortu,Tanggungan Anak,Mulai Berlangganan,Transaksi Terakhir,Sembako,Elektronik,Hobi,Pakaian,Buku,Kesehatan,Jml Transaksi Diskon,Jml Transaksi App,Jml Transaksi Web,Jml Transaksi Outlet,Jml Kunjungan App,Komplain,Pulau,Urutan Terima Penawaran
3/31/1984,Wirausaha,Lajang,"Rp25.707.000,- ",1,0,-2823,18,1558,6877,2560,3215,6861,3702,1,1,0,3,7,Tidak pernah,Jawa,
10/8/1971,Kepala Divisi,Menikah,"Rp42.403.000,- ",1,0,-2861,18,22558,1877,11560,215,5861,3702,1,1,0,3,8,Tidak pernah,Jawa,
6/17/1972,C-level,Lajang,"Rp65.704.000,- ",0,0,-2920,18,279558,172877,74560,38215,8861,246702,1,2,10,10,1,Tidak pernah,NTB,
10/3/1980,Karyawan,Menikah,"Rp37.406.000,- ",1,0,-2923,18,2558,877,8560,2215,2861,3702,1,1,0,2,8,Tidak pernah,Jawa,5
3/20/1951,Manager,Berumahtangga,"Rp39.767.000,- ",0,0,-3004,18,113558,61877,204560,34215,26861,47702,2,7,1,7,8,Tidak pernah,Jawa,
6/10/1979,C-level,Menikah,"Rp54.210.000,- ",0,1,-3066,18,70558,54877,109560,80215,9861,45702,2,4,1,7,5,Tidak pernah,Jawa,
7/3/1967,Karyawan,Cerai,"Rp57.136.000,- ",0,0,-3068,18,267558,140877,599560,34215,12861,127702,1,7,5,7,6,Tidak pernah,Bali,5
4/12/1975,Karyawan,Menikah,"Rp40.794.000,- ",0,1,-3109,18,261558,23877,73560,4215,23861,50702,2,6,3,5,7,Tidak pernah,Jawa,
6/28/1965,Karyawan,Berumahtangga,"Rp83.003.000,- ",0,0,-3144,18,856558,61877,570560,40215,25861,122702,1,7,6,8,3,Tidak pernah,Jawa,"[4, 5]"
4/5/1960,Manager,Menikah,"Rp89.058.000,- ",0,0,-3230,18,454558,194877,106560,31215,22861,43702,1,5,4,4,2,Tidak pernah,Sumatera,
9/4/1991,C-level,Berumahtangga,"Rp20.193.000,- ",0,0,-3239,18,8558,8877,22560,24215,11861,9702,1,1,1,4,4,Tidak pernah,Jawa,
1/29/1974,Karyawan,Menikah,"Rp72.099.000,- ",0,0,-3271,18,546558,91877,410560,119215,861,22702,1,3,4,10,1,Tidak pernah,Jawa,
1/9/1971,Karyawan,Menikah,"Rp43.824.000,- ",1,1,-3313,18,96558,1877,42560,12215,3861,32702,4,3,1,4,8,Tidak pernah,Jawa,
7/1/1975,Karyawan,Berumahtangga,"Rp66.653.000,- ",1,1,-3321,18,452558,18877,102560,16215,18861,6702,4,4,2,12,3,Tidak pernah,Kalimantan,
5/3/1978,Karyawan,Menikah,"Rp44.359.000,- ",1,1,-2673,19,20558,877,14560,7215,3861,1702,3,2,0,4,3,Tidak pernah,Jawa,
10/2/1961,Karyawan,Menikah,"Rp79.410.000,- ",0,0,-2692,19,658558,80877,483560,123215,13861,13702,1,3,2,5,1,Tidak pernah,Jawa,
5/12/1977,Manager,Menikah,"Rp55.842.000,- ",0,1,-2698,19,451558,877,39560,215,4861,24702,1,7,1,8,5,Tidak pernah,Jawa,
8/16/1966,Karyawan,Duda,"Rp79.946.000,- ",0,0,-2709,19,395558,183877,565560,166215,141861,28702,1,5,11,5,3,Tidak pernah,Bali,
8/17/1979,C-level,Lajang,"Rp88.194.000,- ",0,1,-2763,19,688558,14877,309560,201215,24861,38702,1,11,10,10,5,Tidak pernah,NTB,"[0, 2, 5]"
2/19/1944,Manager,Menikah,"Rp80.184.000,- ",0,0,-2781,19,1035558,134877,670560,25215,38861,702,1,6,3,10,3,Tidak pernah,Jawa,"[0, 4]"
2/22/1967,Karyawan,Cerai,"Rp76.982.000,- ",0,0,-2795,19,464558,151877,292560,65215,60861,30702,1,8,3,4,4,Tidak pernah,Jawa,"[4, 5]"
1/7/1980,Kepala Divisi,Lajang,"Rp65.295.000,- ",0,0,-2849,19,365558,32877,117560,34215,110861,6702,1,3,3,13,2,Tidak pernah,NTT,
2/11/1973,Karyawan,Berumahtangga,"Rp57.100.000,- ",0,0,-2868,19,181558,21877,69560,39215,3861,96702,1,3,3,6,3,Tidak pernah,Bali,
2/13/1981,Karyawan,Menikah,"Rp29.009.000,- ",1,0,-2873,19,6558,6877,15560,10215,5861,2702,2,2,0,3,6,Tidak pernah,NTT,
10/17/1971,Kepala Divisi,Menikah,"Rp78.931.000,- ",0,0,-2908,19,331558,197877,170560,58215,152861,35702,1,2,8,13,1,Tidak pernah,Sumatera,
10/28/1975,Manager,Menikah,"Rp7.500.000,- ",1,0,-2931,19,3558,1877,10560,3215,2861,12702,3,2,0,3,5,Tidak pernah,Kalimantan,
10/26/1976,Karyawan,Menikah,"Rp56.939.000,- ",0,1,-2945,19,256558,34877,103560,90215,29861,49702,2,3,3,10,3,Tidak pernah,Jawa,
5/17/1990,Karyawan,Lajang,"Rp64.509.000,- ",0,0,-2977,19,836558,185877,575560,24215,25861,77702,1,6,3,9,4,Tidak pernah,Bali,"[2, 5]"
12/19/1990,Karyawan,Menikah,"Rp30.093.000,- ",0,0,-3017,19,2558,6877,28560,13215,4861,16702,1,2,0,3,7,Tidak pernah,Jawa,
7/5/1974,Kepala Divisi,Berumahtangga,"Rp30.351.000,- ",1,0,-3049,19,14558,877,24560,3215,3861,2702,1,3,0,2,9,Tidak pernah,NTT,5
9/16/1974,Kepala Divisi,Berumahtangga,"Rp30.351.000,- ",1,0,-3049,19,14558,877,24560,3215,3861,2702,1,3,0,2,9,Tidak pernah,Jawa,
6/14/1960,Kepala Divisi,Berumahtangga,"Rp38.201.000,- ",0,1,-3118,19,233558,877,23560,215,861,12702,4,5,1,5,8,Tidak pernah,Bali,
2/19/1986,Karyawan,Lajang,,1,0,-3155,19,5558,1877,3560,3215,263861,362702,0,27,0,0,1,Tidak pernah,Kalimantan,
7/9/1980,Kepala Divisi,Menikah,"Rp43.974.000,- ",1,0,-3225,19,378558,877,101560,215,861,72702,5,6,4,6,7,Tidak pernah,Sumatera,
10/27/1970,Karyawan,Berumahtangga,"Rp38.200.000,- ",1,1,-3230,19,12558,877,4560,215,861,1702,1,1,0,2,7,Tidak pernah,Jawa,
10/27/1960,C-level,Cerai,"Rp87.305.000,- ",0,0,-3305,19,345558,25877,501560,63215,138861,80702,1,5,3,8,2,Tidak pernah,Kalimantan,"[4, 5]"
7/18/1961,Karyawan,Menikah,"Rp16.860.000,- ",1,1,-3316,19,10558,4877,4560,3215,3861,14702,3,1,1,3,7,Tidak pernah,Jawa,
4/29/1972,Kepala Divisi,Lajang,"Rp27.213.000,- ",1,0,-3329,19,19558,3877,26560,10215,9861,3702,3,2,0,4,8,Tidak pernah,Jawa,5
10/31/1976,Karyawan,Menikah,"Rp7.500.000,- ",1,0,-3358,19,7558,877,12560,13215,7861,32702,5,4,1,2,9,Tidak pernah,Kalimantan,"[2, 5]"
1/11/1965,Karyawan,Cerai,"Rp4.861.000,- ",0,0,-2668,20,2558,1877,1560,1215,861,1702,0,0,0,0,14,Tidak pernah,Bali,
8/9/1971,Manager,Menikah,"Rp38.196.000,- ",1,1,-2733,20,30558,877,11560,215,861,3702,3,2,0,4,5,Tidak pernah,Jawa,
1/2/1950,Kepala Divisi,Menikah,"Rp41.145.000,- ",1,1,-2802,20,9558,877,3560,215,861,1702,1,0,0,3,3,Tidak pernah,Sumatera,
3/29/1982,Kepala Divisi,Lajang,"Rp38.513.000,- ",1,0,-2813,20,172558,3877,115560,16215,861,18702,5,6,1,5,8,Tidak pernah,Jawa,5
4/8/1968,Karyawan,Menikah,"Rp45.688.000,- ",0,1,-2816,20,279558,877,18560,215,861,9702,2,3,1,8,4,Tidak pernah,Jawa,3
1/11/1958,Kepala Divisi,Berumahtangga,"Rp77.863.000,- ",0,0,-2875,20,881558,38877,319560,16215,25861,12702,1,4,5,10,2,Tidak pernah,Jawa,
12/20/1969,Manager,Menikah,"Rp42.169.000,- ",1,1,-2914,20,19558,877,9560,215,861,2702,2,1,0,3,8,Tidak pernah,Jawa,
9/18/1964,Karyawan,Lajang,"Rp45.906.000,- ",0,1,-3079,20,305558,3877,27560,4215,3861,144702,2,5,4,4,5,Tidak pernah,Jawa,2
1/22/1988,C-level,Cerai,"Rp35.388.000,- ",1,0,-3140,20,6558,4877,7560,4215,3861,8702,1,1,0,3,7,Tidak pernah,Bali,
10/30/1969,Karyawan,Menikah,"Rp80.952.000,- ",0,0,-3147,20,778558,178877,689560,41215,27861,44702,1,8,5,11,8,Tidak pernah,NTB,"[0, 3, 4, 5]"
1/5/1954,Karyawan,Berumahtangga,"Rp39.898.000,- ",0,1,-3163,20,69558,8877,26560,12215,7861,12702,2,3,0,4,7,Tidak pernah,Sumatera,
1/2/1954,Karyawan,Berumahtangga,"Rp39.898.000,- ",0,1,-3163,20,69558,8877,26560,12215,7861,12702,2,3,0,4,7,Tidak pernah,Jawa,
4/14/1973,Manager,Cerai,"Rp44.051.000,- ",1,1,-3177,20,79558,7877,58560,6215,3861,18702,4,3,1,4,6,Tidak pernah,Bali,5
5/13/1954,Karyawan,Menikah,"Rp86.718.000,- ",0,0,-3189,20,344558,189877,482560,50215,33861,172702,1,5,6,5,2,Tidak pernah,Sulawesi,
7/10/1986,Manager,Menikah,"Rp80.141.000,- ",0,0,-3195,20,1184558,102877,673560,52215,40861,40702,1,7,4,10,6,Tidak pernah,Jawa,"[4, 5]"
12/18/1976,Karyawan,Menikah,"Rp58.597.000,- ",1,1,-3247,20,490558,877,184560,10215,28861,21702,12,7,4,9,7,Tidak pernah,Sulawesi,
8/16/1945,Kepala Divisi,Menikah,"Rp70.356.000,- ",0,0,-3262,20,1349558,16877,249560,43215,16861,33702,2,10,6,9,6,Tidak pernah,Sumatera,
12/30/1967,Karyawan,Lajang,"Rp46.904.000,- ",1,1,-3264,20,153558,4877,56560,215,9861,31702,4,5,1,4,8,Tidak pernah,Jawa,
2/1/1946,Karyawan,Berumahtangga,"Rp37.760.000,- ",0,0,-3328,20,84558,5877,38560,150215,12861,28702,2,4,1,6,7,Tidak pernah,NTT,
2/6/1946,Karyawan,Berumahtangga,"Rp37.760.000,- ",0,0,-3328,20,84558,5877,38560,150215,12861,28702,2,4,1,6,7,Tidak pernah,Bali,
10/25/1964,Karyawan,Lajang,"Rp61.839.000,- ",0,0,-3347,20,1000558,155877,379560,224215,17861,120702,1,4,8,4,8,Tidak pernah,Jawa,
9/30/1972,Kepala Divisi,Menikah,"Rp29.791.000,- ",1,0,-2706,21,14558,877,6560,215,861,702,2,2,0,3,5,Tidak pernah,Kalimantan,
9/27/1963,Kepala Divisi,Lajang,"Rp48.918.000,- ",1,1,-2739,21,52558,877,9560,215,861,1702,2,1,0,4,4,Tidak pernah,Jawa,
3/8/1963,Kepala Divisi,Lajang,"Rp48.918.000,- ",1,1,-2739,21,52558,877,9560,215,861,1702,2,1,0,4,4,Tidak pernah,Jawa,
3/16/1965,Karyawan,Menikah,"Rp58.692.000,- ",0,1,-2745,21,301558,11877,61560,4215,7861,11702,1,8,2,4,7,Tidak pernah,Sumatera,
6/5/1976,Karyawan,Menikah,"Rp39.356.000,- ",1,1,-2763,21,15558,877,2560,215,861,6702,1,1,0,2,6,Tidak pernah,Jawa,2
3/7/1972,Manager,Menikah,"Rp76.234.000,- ",0,1,-2804,21,519558,50877,167560,130215,861,41702,1,8,3,11,3,Tidak pernah,Sumatera,3
9/14/1984,Karyawan,Menikah,"Rp55.434.000,- ",1,0,-2928,21,238558,115877,215560,169215,69861,76702,3,5,3,13,4,Tidak pernah,Bali,
6/29/1946,Manager,Menikah,"Rp66.835.000,- ",0,0,-2935,21,620558,26877,195560,34215,17861,141702,1,6,4,13,2,Tidak pernah,Sulawesi,
9/28/1946,Manager,Menikah,"Rp66.835.000,- ",0,0,-2935,21,620558,26877,195560,34215,17861,141702,1,6,4,13,2,Tidak pernah,Jawa,
10/31/1951,Karyawan,Menikah,"Rp71.965.000,- ",0,1,-2996,21,572558,19877,286560,50215,38861,248702,3,6,3,5,3,Tidak pernah,Sumatera,
2/20/1971,Karyawan,Berumahtangga,"Rp74.538.000,- ",0,0,-3026,21,380558,98877,733560,110215,112861,28702,1,8,8,5,3,Tidak pernah,Jawa,"[4, 5]"
4/6/1954,Karyawan,Cerai,"Rp50.002.000,- ",0,1,-3038,21,443558,5877,71560,21215,16861,82702,2,8,2,7,7,Tidak pernah,Bali,
12/5/1958,Karyawan,Berumahtangga,"Rp53.977.000,- ",0,1,-3047,21,620558,16877,165560,215,24861,82702,5,5,5,12,5,Tidak pernah,Sumatera,
5/3/1958,Karyawan,Berumahtangga,"Rp53.977.000,- ",0,1,-3047,21,620558,16877,165560,215,24861,82702,5,5,5,12,5,Tidak pernah,Jawa,
1/17/1971,Karyawan,Berumahtangga,"Rp69.930.000,- ",0,0,-3060,21,252558,98877,827560,219215,70861,196702,1,4,5,12,3,Tidak pernah,Sulawesi,
4/26/1967,Kepala Divisi,Berumahtangga,"Rp62.981.000,- ",0,0,-3130,21,796558,14877,590560,38215,44861,702,1,4,5,13,3,Tidak pernah,Sumatera,3
1/6/1974,Manager,Berumahtangga,"Rp46.014.000,- ",1,1,-3185,21,410558,877,59560,19215,9861,44702,10,7,1,8,7,Tidak pernah,Bali,
1/20/1987,Karyawan,Berumahtangga,"Rp18.227.000,- ",1,0,-3259,21,1558,2877,7560,4215,3861,11702,1,0,1,2,8,Tidak pernah,Jawa,
3/31/1976,Karyawan,Menikah,"Rp65.991.000,- ",0,1,-3321,21,507558,19877,364560,25215,47861,9702,3,9,5,10,7,Tidak pernah,Jawa,
2/4/1972,Karyawan,Lajang,"Rp38.808.000,- ",1,0,-3333,21,125558,17877,52560,3215,19861,30702,4,5,1,4,8,Tidak pernah,Jawa,"[2, 5]"
8/1/1982,Kepala Divisi,Menikah,"Rp160.803.000,- ",0,0,-3355,21,55558,16877,1622560,17215,3861,4702,15,0,28,1,0,Tidak pernah,NTT,
10/30/1978,Manager,Menikah,"Rp43.783.000,- ",1,0,-2692,22,327558,9877,125560,25215,4861,139702,6,7,1,8,7,Tidak pernah,Sumatera,2
3/29/1969,Kepala Divisi,Menikah,"Rp30.396.000,- ",1,0,-2721,22,15558,877,6560,215,1861,12702,2,1,1,2,7,Tidak pernah,Jawa,"[2, 5]"
4/12/1964,Kepala Divisi,Menikah,"Rp65.526.000,- ",0,1,-2740,22,397558,19877,69560,12215,861,9702,1,4,4,8,2,Tidak pernah,Jawa,
12/16/1964,Kepala Divisi,Menikah,"Rp65.526.000,- ",0,1,-2740,22,397558,19877,69560,12215,861,9702,1,4,4,8,2,Tidak pernah,Bali,
9/18/1944,Karyawan,Menikah,"Rp55.956.000,- ",0,0,-2744,22,760558,38877,104560,50215,9861,38702,2,7,3,4,4,Tidak pernah,Jawa,3
5/20/1978,Karyawan,Cerai,"Rp55.563.000,- ",0,1,-2746,22,29558,1877,9560,2215,861,2702,1,2,0,3,3,Tidak pernah,Jawa,
7/22/1965,Kepala Divisi,Menikah,"Rp57.236.000,- ",1,1,-2770,22,105558,877,9560,2215,1861,4702,3,2,1,4,3,Tidak pernah,Jawa,
6/24/1973,Karyawan,Cerai,"Rp89.694.000,- ",1,1,-2924,22,1126558,28877,211560,37215,28861,42702,3,4,3,4,5,Tidak pernah,Kalimantan,"[0, 3, 4]"
3/11/1971,Manager,Berumahtangga,"Rp57.420.000,- ",0,1,-3030,22,280558,877,18560,215,861,24702,3,5,1,6,7,Tidak pernah,NTT,3
10/30/1972,Karyawan,Menikah,"Rp33.622.000,- ",1,1,-3103,22,39558,1877,22560,3215,4861,12702,3,2,0,4,7,Tidak pernah,NTB,
4/3/1986,Kepala Divisi,Lajang,"Rp29.999.000,- ",1,0,-3162,22,68558,7877,59560,10215,5861,11702,4,3,1,4,8,Tidak pernah,Jawa,
5/5/1962,Kepala Divisi,Berumahtangga,"Rp31.497.000,- ",0,1,-3231,22,108558,1877,28560,13215,1861,4702,2,3,1,4,8,Tidak pernah,Jawa,
10/3/1962,Kepala Divisi,Berumahtangga,"Rp31.497.000,- ",0,1,-3231,22,108558,1877,28560,13215,1861,4702,2,3,1,4,8,Tidak pernah,Bali,
6/4/1980,Kepala Divisi,Lajang,"Rp36.802.000,- ",1,0,-2674,23,16558,1877,2560,215,861,1702,1,1,0,3,5,Tidak pernah,Jawa,
11/10/1968,Karyawan,Cerai,"Rp61.671.000,- ",0,1,-2687,23,641558,7877,56560,215,861,28702,8,10,4,6,8,Tidak pernah,Jawa,"[0, 3]"
7/15/1893,C-level,Lajang,"Rp60.182.000,- ",0,1,-2704,23,8558,877,5560,7215,861,2702,1,1,0,2,4,Tidak pernah,Bali,
6/25/1971,Kepala Divisi,Berumahtangga,"Rp29.732.000,- ",1,0,-2757,23,25558,877,8560,215,1861,4702,1,2,0,2,9,Tidak pernah,Sumatera,
8/13/1986,Kepala Divisi,Menikah,"Rp45.921.000,- ",0,0,-2772,23,102558,9877,49560,24215,3861,12702,1,2,1,6,4,Tidak pernah,Bali,
11/4/1984,Karyawan,Berumahtangga,"Rp16.529.000,- ",1,0,-2781,23,3558,877,5560,13215,861,1702,1,1,0,3,6,Tidak pernah,Sumatera,
6/19/1960,Manager,Lajang,"Rp98.777.000,- ",0,0,-2793,23,1000558,19877,711560,125215,115861,38702,0,4,6,9,1,Tidak pernah,Jawa,3
7/4/1960,Manager,Lajang,"Rp98.777.000,- ",0,0,-2793,23,1000558,19877,711560,125215,115861,38702,0,4,6,9,1,Tidak pernah,Jawa,3
11/16/1952,Manager,Menikah,"Rp77.027.000,- ",0,1,-2805,23,820558,57877,242560,45215,861,11702,2,8,3,6,4,Tidak pernah,Jawa,
9/5/1965,Karyawan,Menikah,"Rp69.139.000,- ",0,1,-2814,23,86558,12877,75560,33215,15861,6702,1,4,1,5,4,Tidak pernah,Jawa,
6/29/1965,Karyawan,Menikah,"Rp69.139.000,- ",0,1,-2814,23,86558,12877,75560,33215,15861,6702,1,4,1,5,4,Tidak pernah,Bali,
2/21/1982,Karyawan,Menikah,"Rp65.169.000,- ",0,0,-2827,23,1074558,877,69560,215,861,46702,1,10,4,13,6,Tidak pernah,Jawa,"[0, 1, 2, 4, 5]"
12/17/1952,Karyawan,Duda,"Rp40.049.000,- ",0,1,-2917,23,13558,6877,7560,215,3861,3702,1,1,0,3,6,Tidak pernah,Jawa,
5/14/1945,Karyawan,Menikah,"Rp69.755.000,- ",0,0,-2931,23,217558,77877,373560,111215,23861,93702,1,3,6,12,1,Tidak pernah,Bali,
10/8/1961,Kepala Divisi,Menikah,,0,1,-3014,23,352558,877,27560,10215,861,15702,3,6,1,7,6,Tidak pernah,Sumatera,
4/7/1961,Kepala Divisi,Menikah,"Rp54.456.000,- ",0,1,-3014,23,352558,877,27560,10215,861,15702,3,6,1,7,6,Tidak pernah,Jawa,
9/19/1977,Karyawan,Berumahtangga,"Rp666.666.000,- ",1,0,-3053,23,9558,14877,18560,8215,1861,12702,4,3,1,3,6,Tidak pernah,Bali,
7/8/1951,Karyawan,Lajang,"Rp60.689.000,- ",0,1,-3054,23,240558,90877,216560,63215,6861,24702,4,4,4,10,3,Tidak pernah,NTT,
1/11/1978,Wirausaha,Lajang,"Rp26.487.000,- ",1,0,-3066,23,2558,8877,10560,12215,14861,23702,3,2,1,3,5,Tidak pernah,Sumatera,
9/27/1970,Karyawan,Menikah,"Rp28.164.000,- ",1,0,-3082,23,3558,18877,26560,11215,8861,12702,3,2,0,4,7,Tidak pernah,NTB,
1/28/1970,Karyawan,Lajang,"Rp22.585.000,- ",0,0,-3129,23,3558,9877,15560,13215,2861,39702,1,1,1,2,9,Tidak pernah,Jawa,"[2, 5]"
6/14/1971,Karyawan,Menikah,"Rp64.795.000,- ",0,1,-3189,23,412558,5877,119560,38215,29861,77702,3,3,3,12,2,Tidak pernah,Jawa,
10/12/1987,Kepala Divisi,Lajang,"Rp42.000.000,- ",0,0,-3196,23,124558,83877,267560,85215,59861,35702,2,5,2,11,5,Tidak pernah,Jawa,5
5/14/1987,Kepala Divisi,Lajang,"Rp42.000.000,- ",0,0,-3196,23,124558,83877,267560,85215,59861,35702,2,5,2,11,5,Tidak pernah,Kalimantan,5
2/9/1966,Karyawan,Berumahtangga,"Rp70.713.000,- ",0,1,-3234,23,736558,114877,279560,82215,76861,190702,6,5,6,8,3,Tidak pernah,Jawa,
4/13/1946,Kepala Divisi,Lajang,"Rp82.800.000,- ",0,0,-3243,23,1006558,22877,115560,59215,68861,45702,1,7,6,12,3,Tidak pernah,NTT,"[0, 4, 5]"
4/9/1946,Kepala Divisi,Lajang,"Rp82.800.000,- ",0,0,-3243,23,1006558,22877,115560,59215,68861,45702,1,7,6,12,3,Tidak pernah,Bali,"[0, 4, 5]"
3/3/1975,Wirausaha,Menikah,"Rp30.801.000,- ",0,1,-3272,23,8558,4877,5560,15215,2861,11702,2,1,0,3,7,Tidak pernah,Jawa,
4/11/1974,Manager,Menikah,"Rp83.891.000,- ",0,1,-2670,24,217558,38877,350560,111215,85861,15702,1,4,7,10,1,Tidak pernah,Jawa,
3/29/1950,Manager,Cerai,"Rp38.054.000,- ",1,1,-2720,24,23558,2877,17560,2215,1861,702,2,2,0,3,7,Tidak pernah,Sulawesi,
10/28/1969,Karyawan,Menikah,"Rp14.045.000,- ",1,0,-2815,24,11558,877,5560,2215,1861,1702,1,1,0,3,7,Tidak pernah,Jawa,
10/28/1957,Kepala Divisi,Menikah,"Rp44.155.000,- ",1,1,-2822,24,22558,1877,9560,215,861,14702,1,1,1,2,4,Tidak pernah,Jawa,
1/8/1970,Kepala Divisi,Lajang,"Rp57.642.000,- ",0,1,-2832,24,580558,6877,58560,8215,861,27702,3,7,6,6,4,Tidak pernah,Sulawesi,2
7/2/1977,Karyawan,Menikah,"Rp31.353.000,- ",1,1,-2843,24,10558,877,10560,3215,1861,7702,2,1,1,2,8,Tidak pernah,Sulawesi,
5/3/1977,Karyawan,Menikah,"Rp31.353.000,- ",1,1,-2843,24,10558,877,10560,3215,1861,7702,2,1,1,2,8,Tidak pernah,Bali,5
1/4/1968,Manager,Cerai,"Rp41.335.000,- ",1,0,-2846,24,112558,19877,21560,16215,14861,5702,3,4,1,4,7,Tidak pernah,Kalimantan,
4/7/1968,Manager,Cerai,"Rp41.335.000,- ",1,0,-2846,24,112558,19877,21560,16215,14861,5702,3,4,1,4,7,Tidak pernah,NTT,
8/14/1957,Kepala Divisi,Lajang,"Rp40.737.000,- ",2,1,-2864,24,11558,877,4560,215,861,2702,1,1,0,2,8,Tidak pernah,Bali,
6/12/1975,C-level,Berumahtangga,"Rp19.789.000,- ",1,0,-2882,24,2558,5877,9560,28215,6861,28702,3,2,1,3,5,Tidak pernah,Jawa,2
5/21/1949,Kepala Divisi,Cerai,"Rp35.946.000,- ",1,1,-2936,24,8558,877,3560,215,861,702,1,0,0,3,5,Tidak pernah,Kalimantan,
6/12/1983,Manager,Menikah,"Rp36.262.000,- ",0,0,-2943,24,88558,39877,54560,64215,28861,153702,1,3,5,3,6,Tidak pernah,Jawa,"[2, 5]"
6/25/1954,Manager,Duda,"Rp44.551.000,- ",0,1,-2963,24,182558,4877,33560,215,861,66702,2,4,1,5,7,Tidak pernah,Bali,
2/8/1959,Karyawan,Berumahtangga,"Rp71.367.000,- ",0,0,-2971,24,227558,23877,389560,42215,21861,75702,1,4,5,7,2,Tidak pernah,Jawa,
8/29/1959,Karyawan,Berumahtangga,"Rp71.367.000,- ",0,0,-2971,24,227558,23877,389560,42215,21861,75702,1,4,5,7,2,Tidak pernah,Jawa,
7/7/1959,Karyawan,Berumahtangga,"Rp57.957.000,- ",0,1,-2975,24,290558,59877,177560,77215,5861,29702,7,4,6,8,3,Pernah,Sumatera,
6/22/1972,C-level,Berumahtangga,"Rp50.334.000,- ",0,1,-3001,24,284558,16877,160560,84215,16861,134702,6,7,4,6,6,Tidak pernah,Bali,
6/27/1949,Manager,Menikah,"Rp48.150.000,- ",0,1,-3047,24,173558,2877,39560,3215,2861,47702,3,5,1,4,7,Tidak pernah,NTB,
10/22/1969,Karyawan,Menikah,"Rp56.796.000,- ",0,1,-3159,24,656558,38877,161560,62215,47861,37702,3,8,9,7,7,Tidak pernah,Jawa,
7/12/1969,Karyawan,Menikah,"Rp56.796.000,- ",0,1,-3159,24,656558,38877,161560,62215,47861,37702,3,8,9,7,7,Tidak pernah,Kalimantan,
5/20/1963,Kepala Divisi,Duda,"Rp52.278.000,- ",0,1,-3181,24,953558,877,71560,215,861,174702,6,10,5,10,8,Tidak pernah,Bali,5
9/1/1963,Kepala Divisi,Duda,"Rp52.278.000,- ",0,1,-3181,24,953558,877,71560,215,861,174702,6,10,5,10,8,Tidak pernah,Jawa,
7/17/1996,C-level,Menikah,"Rp7.500.000,- ",0,0,-3258,24,3558,18877,14560,15215,22861,50702,3,3,1,3,9,Tidak pernah,Kalimantan,5
12/11/1952,Manager,Menikah,"Rp33.444.000,- ",1,1,-3264,24,8558,877,8560,215,861,2702,1,1,0,2,8,Tidak pernah,Jawa,
6/14/1973,Karyawan,Menikah,"Rp20.895.000,- ",1,0,-3292,24,18558,3877,17560,3215,861,4702,1,2,0,3,9,Tidak pernah,Kalimantan,
4/25/1976,Manager,Berumahtangga,"Rp37.509.000,- ",1,0,-3316,24,37558,5877,56560,12215,8861,5702,2,3,0,4,7,Tidak pernah,NTB,
7/1/1978,Manager,Menikah,"Rp88.097.000,- ",1,0,-3341,24,163558,877,480560,215,126861,75702,1,6,5,8,9,Tidak pernah,Jawa,"[0, 3, 4, 5]"
10/17/1973,Karyawan,Menikah,"Rp59.041.000,- ",1,1,-2714,25,69558,2877,15560,2215,2861,6702,2,2,0,4,5,Tidak pernah,Bali,
11/26/1974,Karyawan,Lajang,"Rp43.322.000,- ",0,0,-2730,25,56558,7877,48560,10215,2861,18702,1,3,0,4,7,Tidak pernah,Sulawesi,
6/24/1955,Kepala Divisi,Berumahtangga,"Rp46.015.000,- ",1,1,-2738,25,38558,877,2560,215,861,6702,1,1,0,3,7,Tidak pernah,Bali,"[1, 2]"
12/13/1955,Kepala Divisi,Berumahtangga,"Rp46.015.000,- ",1,1,-2738,25,38558,877,2560,215,861,6702,1,1,0,3,7,Tidak pernah,Sumatera,"[1, 2]"
1/30/1959,Manager,Menikah,"Rp34.242.000,- ",0,1,-2759,25,8558,2877,4560,215,861,1702,1,0,0,3,5,Tidak pernah,Jawa,
3/11/1955,Karyawan,Menikah,"Rp65.210.000,- ",0,1,-2772,25,626558,877,70560,215,7861,28702,2,9,3,8,6,Tidak pernah,Sumatera,"[0, 3]"
2/4/1958,Kepala Divisi,Duda,"Rp50.520.000,- ",0,1,-2813,25,112558,877,6560,2215,1861,14702,2,3,1,3,6,Tidak pernah,Jawa,
1/6/1970,Karyawan,Menikah,"Rp90.765.000,- ",0,0,-2817,25,547558,99877,812560,151215,82861,33702,0,4,6,5,1,Tidak pernah,Sumatera,"[0, 4]"
10/20/1944,Karyawan,Menikah,"Rp80.589.000,- ",0,0,-2819,25,507558,93877,520560,242215,40861,26702,1,5,10,5,1,Tidak pernah,Kalimantan,"[0, 5]"
3/14/1958,Manager,Menikah,"Rp49.572.000,- ",1,1,-2857,25,35558,1877,16560,215,1861,1702,2,2,0,3,7,Tidak pernah,Sumatera,
6/1/1978,Karyawan,Berumahtangga,"Rp75.437.000,- ",0,0,-2893,25,795558,877,545560,95215,58861,702,1,8,4,10,6,Tidak pernah,Jawa,0
9/5/1971,Manager,Cerai,"Rp44.635.000,- ",1,1,-2922,25,56558,877,9560,215,861,3702,2,2,0,3,7,Tidak pernah,Jawa,
